Name|Shutter Speed (s)|Aperature|ISO Speed Rating|Flash Fired|Exposure Program|Focal Length (mm)
IMG_0466.JPG|3/10|f/3.5|400|Flash did not fire, compulsory flash mode|Program Normal|21
IMG_0501.JPG|13/10|f/8|400|Flash did not fire, compulsory flash mode|Aperture Priority|18
IMG_0536.JPG|1/800|f/5|3200|Flash did not fire, compulsory flash mode|Manual|24
IMG_0528.JPG|1/800|f/6.3|3200|Flash did not fire, compulsory flash mode|Manual|29
IMG_0530.JPG|1/800|f/6.3|3200|Flash did not fire, compulsory flash mode|Manual|27
IMG_0534.JPG|1/800|f/6.3|2000|Flash did not fire, compulsory flash mode|Manual|27
IMG_0428.JPG|1/80|f/8|100|Flash did not fire, compulsory flash mode|Landscape Mode|28
IMG_0453.JPG|1/60|f/4.5|800|Flash fired, compulsory flash mode|Program Normal|37
IMG_0504.JPG|1/60|f/4.5|1600|Flash did not fire|Unidentified|35
IMG_0507.JPG|1/60|f/4.5|800|Flash fired, compulsory flash mode|Program Normal|35
IMG_0515.JPG|1/60|f/4.5|200|Flash did not fire, compulsory flash mode|Program Normal|35
IMG_0521.JPG|1/60|f/4.5|800|Flash fired, compulsory flash mode|Unidentified|35
IMG_0522.JPG|1/60|f/4.5|800|Flash fired, compulsory flash mode|Unidentified|35
IMG_0497.JPG|1/60|f/5.6|800|Flash fired, compulsory flash mode|Unidentified|55
IMG_0526.JPG|1/60|f/6.3|100|Flash did not fire, compulsory flash mode|Landscape Mode|35
IMG_0485.JPG|1/60|f/8|100|Flash did not fire, compulsory flash mode|Landscape Mode|23
IMG_0441.JPG|1/6|f/8|400|Flash did not fire, compulsory flash mode|Aperture Priority|18
IMG_0454.JPG|1/50|f/4|400|Flash did not fire, compulsory flash mode|Program Normal|18
IMG_0456.JPG|1/40|f/8|400|Flash did not fire, compulsory flash mode|Aperture Priority|20
IMG_0511.JPG|1/320|f/5.6|400|Flash did not fire, compulsory flash mode|Manual|35
IMG_0549.JPG|1/200|f/13|800|Flash fired, compulsory flash mode|Program Normal|36
IMG_0467.JPG|1/2|f/3.5|400|Flash did not fire, compulsory flash mode|Program Normal|21
IMG_0481.JPG|1/160|f/5.6|400|Flash did not fire, compulsory flash mode|Manual|55
IMG_0482.JPG|1/160|f/5.6|400|Flash did not fire, compulsory flash mode|Manual|55
IMG_0491.JPG|1/125|f/3.5|400|Flash did not fire, compulsory flash mode|Shutter Priority|23
IMG_0436.JPG|1/125|f/8|400|Flash did not fire, compulsory flash mode|Aperture Priority|18
IMG_0499.JPG|1/100|f/5.6|400|Flash did not fire, compulsory flash mode|Program Normal|55
